url,name,icon,description,categories,
https://www.processon.com/;jsessionid=795BAF83E00E7A1CD0FF5B7F37DEA0D1.jvm1,ProcessOn,processon.png,,办公工具,工具
http://www.tietuku.com/,贴图库,tietuku.png,图片外链,办公工具,工具
https://www.google.com/sheets/about/,Google 表格,google-docs.png,,办公工具,工具
https://app.powerbi.com/groups/me/reports/,Power BI,power-bi.png,,办公工具,工具
https://my.vultr.com/,Vultr,vultr.png,服务器商,云服务器,独立站
https://bandwagonhost.com/aff.php?aff=61264,BandwagonHost,bandwagonhost.png,服务器商,云服务器,独立站
https://account.godaddy.com/products,Godaddy,godaddy.png,域名服务商,域名,独立站
https://www.similarweb.com/website/colourpop.com,Similarweb,similarweb.png,网站分析 ,网站分析,独立站
https://justmysocks1.net/members/clientarea.php?action=productdetails&id=68524,Just My Socks,just-my-socks.png,VPN 服务商，搬瓦工旗下,网络工具,独立站
https://ads.google.com/aw/keywordplanner/home,Google 关键字规划师,google.png,需科学上网及登录 Google 账号,独立站广告工具,独立站
https://analytics.google.com/analytics/web/,Google Analytics,google.png,,独立站广告工具,独立站
https://merchants.google.com/,Google Merchant Center,google.png,,独立站广告工具,独立站
https://ads.google.com/intl/zh_cn/home/,Google 广告,google.png,Google 广告后台,独立站广告工具,独立站
https://business.facebook.com/,Facebook 商务管理平台,facebook.png,,独立站广告工具,独立站
https://www.facebook.com/ads/library/,Facebook 广告资料库,facebook.png,,独立站广告工具,独立站
https://themeforest.net/category/ecommerce/shopify,ThemeForest,themeforest.png,Shopify 模板,独立站工具,独立站
https://search.google.com/test/mobile-friendly,Google Search Console,google.png,移动设备适合性测试,独立站工具,独立站
https://developers.google.com/speed/pagespeed/insights/,PageSpeed Insights,pagespeed-insights.png,Google 网页测速,独立站工具,独立站
https://gtmetrix.com/,GTmetrix,gtmetrix.png,网页测速,独立站工具,独立站
